Year,Population,Death Rate
1,10100.00,0.01500
2,10199.49,0.01515
3,10296.87,0.01545
4,10390.46,0.01591
5,10478.44,0.01653
6,10558.88,0.01732
7,10629.72,0.01829
8,10688.79,0.01944
9,10733.87,0.02078
10,10762.77,0.02231
11,10773.43,0.02401
12,10764.10,0.02587
13,10733.51,0.02784
14,10681.08,0.02988
15,10607.16,0.03192
16,10513.20,0.03386
17,10401.81,0.03560
18,10276.71,0.03703
19,10142.60,0.03805
20,10004.73,0.03859
21,9868.55,0.03861
22,9739.23,0.03810
23,9621.29,0.03711
24,9518.29,0.03570
25,9432.77,0.03398
26,9366.20,0.03206
27,9319.13,0.03003
28,9291.35,0.02798
29,9282.08,0.02600
30,9290.14,0.02413
31,9314.12,0.02242
32,9352.48,0.02088
33,9403.65,0.01953
34,9466.05,0.01836
35,9538.14,0.01738
36,9618.45,0.01658
37,9705.51,0.01595
38,9797.92,0.01548
39,9894.27,0.01517
40,9993.16,0.01501
41,10093.14,0.01500
42,10192.71,0.01513
43,10290.29,0.01543
44,10384.20,0.01587
45,10472.63,0.01648
46,10553.65,0.01726
47,10625.21,0.01822
48,10685.16,0.01936
49,10731.27,0.02068
50,10761.35,0.02220
51,10773.32,0.02389
52,10765.41,0.02573
53,10736.30,0.02770
54,10685.37,0.02974
55,10612.89,0.03178
56,10520.24,0.03373
57,10409.93,0.03549
58,10285.64,0.03694
59,10151.98,0.03800
60,10014.19,0.03857
61,9877.72,0.03863
62,9747.78,0.03815
63,9628.93,0.03719
64,9524.82,0.03581
65,9438.04,0.03411
66,9370.15,0.03219
67,9321.74,0.03017
68,9292.66,0.02812
69,9282.15,0.02613
70,9289.06,0.02426
71,9312.00,0.02253
72,9349.42,0.02098
73,9399.76,0.01962
74,9461.44,0.01844
75,9532.92,0.01745
76,9612.71,0.01663
77,9699.35,0.01599
78,9791.44,0.01551
79,9887.57,0.01518
80,9986.33,0.01501
81,10086.28,0.01499
82,10185.93,0.01512
83,10283.70,0.01540
84,10377.91,0.01584
85,10466.78,0.01644
86,10548.37,0.01720
87,10620.65,0.01815
88,10681.46,0.01927
89,10728.59,0.02059
90,10759.84,0.02209
91,10773.12,0.02377
92,10766.62,0.02560
93,10738.99,0.02757
94,10689.56,0.02960
95,10618.53,0.03164
96,10527.19,0.03360
97,10417.99,0.03537
98,10294.52,0.03685
99,10161.33,0.03794
100,10023.66,0.03855
101,9886.93,0.03864
102,9756.39,0.03820
103,9636.65,0.03727
104,9531.43,0.03592
105,9443.40,0.03424
106,9374.18,0.03233
107,9324.44,0.03031
108,9294.05,0.02826
109,9282.30,0.02626
110,9288.06,0.02438
111,9309.94,0.02264
112,9346.43,0.02108
113,9395.93,0.01970
114,9456.88,0.01851
115,9527.74,0.01751
116,9607.00,0.01668
117,9693.22,0.01603
118,9784.98,0.01553
119,9880.88,0.01520
120,9979.50,0.01502
121,10079.42,0.01499
122,10179.14,0.01511
123,10277.09,0.01538
124,10371.60,0.01580
125,10460.89,0.01639
126,10543.05,0.01715
127,10616.04,0.01808
128,10677.70,0.01919
129,10725.84,0.02049
130,10758.25,0.02198
131,10772.82,0.02365
132,10767.73,0.02547
133,10741.58,0.02743
134,10693.64,0.02946
135,10624.07,0.03151
136,10534.06,0.03347
137,10425.98,0.03526
138,10303.35,0.03676
139,10170.67,0.03788
140,10033.13,0.03852
141,9896.16,0.03865
142,9765.04,0.03825
143,9644.43,0.03735
144,9538.12,0.03602
145,9448.85,0.03436
146,9378.31,0.03247
147,9327.22,0.03045
148,9295.52,0.02840
149,9282.53,0.02640
150,9287.13,0.02450
151,9307.96,0.02276
152,9343.49,0.02118
153,9392.16,0.01979
154,9452.37,0.01859
155,9522.60,0.01757
156,9601.33,0.01673
157,9687.12,0.01606
158,9778.54,0.01556
159,9874.20,0.01522
160,9972.68,0.01503
161,10072.56,0.01499
162,10172.34,0.01509
163,10270.46,0.01535
164,10365.27,0.01577
165,10454.98,0.01635
166,10537.69,0.01709
167,10611.37,0.01801
168,10673.88,0.01911
169,10723.02,0.02040
170,10756.57,0.02187
171,10772.43,0.02353
172,10768.74,0.02534
173,10744.06,0.02729
174,10697.63,0.02932
175,10629.51,0.03137
176,10540.84,0.03334
177,10433.90,0.03515
178,10312.13,0.03667
179,10179.99,0.03781
180,10042.60,0.03850
181,9905.43,0.03866
182,9773.74,0.03829
183,9652.28,0.03743
184,9544.89,0.03613
185,9454.39,0.03448
186,9382.53,0.03260
187,9330.10,0.03059
188,9297.09,0.02854
189,9282.84,0.02653
190,9286.28,0.02463
191,9306.04,0.02287
192,9340.62,0.02128
193,9388.43,0.01988
194,9447.91,0.01867
195,9517.49,0.01763
196,9595.69,0.01678
197,9681.04,0.01611
198,9772.12,0.01559
199,9867.53,0.01524
200,9965.87,0.01503
201,10065.70,0.01498
202,10165.53,0.01508
203,10263.82,0.01533
204,10358.91,0.01574
205,10449.03,0.01630
206,10532.28,0.01703
207,10606.65,0.01794
208,10670.00,0.01903
209,10720.12,0.02030
210,10754.81,0.02176
211,10771.95,0.02341
212,10769.65,0.02521
213,10746.44,0.02715
214,10701.51,0.02918
215,10634.86,0.03123
216,10547.54,0.03321
217,10441.75,0.03503
218,10320.87,0.03658
219,10189.28,0.03775
220,10052.08,0.03846
221,9914.71,0.03867
222,9782.50,0.03834
223,9660.20,0.03750
224,9551.74,0.03623
225,9460.01,0.03460
226,9386.84,0.03273
227,9333.07,0.03073
228,9298.74,0.02868
229,9283.24,0.02667
230,9285.51,0.02476
231,9304.20,0.02299
232,9337.81,0.02139
233,9384.76,0.01997
234,9443.49,0.01874
235,9512.43,0.01770
236,9590.08,0.01684
237,9674.99,0.01615
238,9765.72,0.01562
239,9860.88,0.01526
240,9959.06,0.01504
241,10058.83,0.01498
242,10158.72,0.01507
243,10257.16,0.01531
244,10352.53,0.01570
245,10443.04,0.01626
246,10526.83,0.01698
247,10601.88,0.01787
248,10666.05,0.01895
249,10717.16,0.02021
250,10752.97,0.02166
251,10771.37,0.02329
252,10770.46,0.02509
253,10748.72,0.02702
254,10705.29,0.02904
255,10640.11,0.03109
256,10554.14,0.03308
257,10449.53,0.03491
258,10329.56,0.03648
259,10198.54,0.03768
260,10061.55,0.03843
261,9924.03,0.03867
262,9791.30,0.03837
263,9668.18,0.03757
264,9558.67,0.03633
265,9465.72,0.03472
266,9391.24,0.03287
267,9336.14,0.03087
268,9300.49,0.02882
269,9283.72,0.02680
270,9284.81,0.02488
271,9302.42,0.02310
272,9335.06,0.02149
273,9381.15,0.02006
274,9439.12,0.01882
275,9507.41,0.01777
276,9584.51,0.01689
277,9668.96,0.01619
278,9759.34,0.01565
279,9854.25,0.01528
280,9952.26,0.01505
281,10051.97,0.01498
282,10151.90,0.01506
283,10250.49,0.01529
284,10346.12,0.01567
285,10437.03,0.01621
286,10521.34,0.01692
287,10597.05,0.01780
288,10662.04,0.01887
289,10714.11,0.02012
290,10751.05,0.02155
291,10770.71,0.02317
292,10771.17,0.02496
293,10750.90,0.02688
294,10708.97,0.02890
295,10645.26,0.03095
296,10560.67,0.03295
297,10457.24,0.03479
298,10338.19,0.03638
299,10207.77,0.03761
300,10071.02,0.03840
301,9933.36,0.03867
302,9800.14,0.03841
303,9676.23,0.03764
304,9565.68,0.03643
305,9471.52,0.03484
306,9395.74,0.03300
307,9339.29,0.03101
308,9302.32,0.02896
309,9284.29,0.02694
310,9284.19,0.02501
311,9300.72,0.02322
312,9332.37,0.02160
313,9377.59,0.02015
314,9434.80,0.01890
315,9502.43,0.01783
316,9578.97,0.01694
317,9662.97,0.01623
318,9752.99,0.01568
319,9847.62,0.01530
320,9945.47,0.01506
321,10045.11,0.01498
322,10145.07,0.01505
323,10243.81,0.01527
324,10339.69,0.01564
325,10430.98,0.01617
326,10515.81,0.01687
327,10592.18,0.01774
328,10657.97,0.01879
329,10711.00,0.02002
330,10749.05,0.02145
331,10769.95,0.02305
332,10771.79,0.02483
333,10752.98,0.02675
334,10712.54,0.02876
335,10650.31,0.03081
336,10567.10,0.03281
337,10464.87,0.03467
338,10346.77,0.03629
339,10216.98,0.03754
340,10080.49,0.03836
341,9942.72,0.03867
342,9809.03,0.03845
343,9684.34,0.03771
344,9572.76,0.03652
345,9477.41,0.03496
346,9400.32,0.03313
347,9342.54,0.03115
348,9304.24,0.02910
349,9284.94,0.02707
350,9283.65,0.02514
351,9299.08,0.02334
352,9329.75,0.02170
353,9374.09,0.02025
354,9430.52,0.01898
355,9497.49,0.01790
356,9573.47,0.01700
357,9657.00,0.01627
358,9746.65,0.01572
359,9841.01,0.01532
360,9938.69,0.01507
361,10038.25,0.01498
362,10138.24,0.01504
363,10237.11,0.01525
364,10333.25,0.01561
365,10424.91,0.01613
366,10510.24,0.01681
367,10587.25,0.01767
368,10653.84,0.01871
369,10707.82,0.01993
370,10746.96,0.02134
371,10769.11,0.02294
372,10772.30,0.02470
373,10754.95,0.02661
374,10716.01,0.02862
375,10655.26,0.03067
376,10573.44,0.03268
377,10472.43,0.03455
378,10355.29,0.03619
379,10226.15,0.03747
380,10089.96,0.03832
381,9952.09,0.03866
382,9817.96,0.03848
383,9692.51,0.03778
384,9579.93,0.03662
385,9483.38,0.03508
386,9405.00,0.03327
387,9345.87,0.03129
388,9306.25,0.02924
389,9285.67,0.02721
390,9283.19,0.02527
391,9297.52,0.02346
392,9327.19,0.02181
393,9370.65,0.02034
394,9426.30,0.01906
395,9492.59,0.01797
396,9568.00,0.01706
397,9651.06,0.01632
398,9740.34,0.01575
399,9834.42,0.01534
400,9931.92,0.01509
401,10031.39,0.01498
402,10131.40,0.01503
403,10230.40,0.01523
404,10326.78,0.01558
405,10418.80,0.01609
406,10504.63,0.01676
407,10582.28,0.01761
408,10649.66,0.01863
409,10704.57,0.01984
410,10744.80,0.02124
411,10768.18,0.02282
412,10772.73,0.02458
413,10756.82,0.02648
414,10719.38,0.02848
415,10660.11,0.03053
416,10579.69,0.03254
417,10479.91,0.03443
418,10363.76,0.03608
419,10235.29,0.03740
420,10099.41,0.03828
421,9961.49,0.03866
422,9826.93,0.03851
423,9700.75,0.03784
424,9587.16,0.03671
425,9489.44,0.03519
426,9409.76,0.03340
427,9349.30,0.03143
428,9308.35,0.02938
429,9286.49,0.02735
430,9282.81,0.02540
431,9296.03,0.02358
432,9324.70,0.02192
433,9367.26,0.02044
434,9422.13,0.01914
435,9487.74,0.01804
436,9562.57,0.01711
437,9645.15,0.01636
438,9734.05,0.01578
439,9827.85,0.01536
440,9925.15,0.01510
441,10024.54,0.01499
442,10124.56,0.01502
443,10223.67,0.01521
444,10320.29,0.01555
445,10412.67,0.01605
446,10498.99,0.01671
447,10577.26,0.01754
448,10645.41,0.01856
449,10701.25,0.01975
450,10742.55,0.02114
451,10767.15,0.02271
452,10773.05,0.02445
453,10758.59,0.02634
454,10722.65,0.02834
455,10664.87,0.03039
456,10585.85,0.03241
457,10487.32,0.03431
458,10372.17,0.03598
459,10244.40,0.03732
460,10108.85,0.03823
461,9970.90,0.03865
462,9835.95,0.03853
463,9709.04,0.03790
464,9594.48,0.03680
465,9495.58,0.03531
466,9414.62,0.03353
467,9352.83,0.03156
468,9310.54,0.02952
469,9287.40,0.02749
470,9282.50,0.02553
471,9294.61,0.02370
472,9322.27,0.02202
473,9363.93,0.02053
474,9418.00,0.01923
475,9482.93,0.01811
476,9557.17,0.01717
477,9639.27,0.01641
478,9727.78,0.01582
479,9821.29,0.01539
480,9918.40,0.01511
481,10017.69,0.01499
482,10117.71,0.01502
483,10216.94,0.01519
484,10313.78,0.01552
485,10406.51,0.01601
486,10493.30,0.01666
487,10572.19,0.01748
488,10641.10,0.01848
489,10697.86,0.01967
490,10740.23,0.02104
491,10766.04,0.02260
492,10773.28,0.02433
493,10760.26,0.02621
494,10725.81,0.02820
495,10669.52,0.03025
496,10591.92,0.03227
497,10494.64,0.03418
498,10380.52,0.03587
499,10253.46,0.03724
500,10118.29,0.03818
